age,gender,interest,course
13,Male,programming,Computer Science
13,Male,software,Computer Science
13,Male,web,Computer Science
13,Male,network,Computer Science
13,Male,cybersecurity,Computer Science
13,Male,data science,Computer Science
13,Male,machine learning,Computer Science
13,Male,cloud,Computer Science
13,Male,blockchain,Computer Science
13,Male,python,Computer Science
13,Male,java,Computer Science
13,Male,c++,Computer Science
13,Male,frontend,Computer Science
13,Male,backend,Computer Science
13,Male,DevOps,Computer Science
13,Male,UI/UX,Computer Science
13,Male,system,Computer Science
13,Male,database,Computer Science
13,Male,game,Computer Science
13,Male,full stack,Computer Science
13,Male,quantum,Computer Science
13,Male,painting,Fine Arts
13,Male,sculpture,Fine Arts
13,Male,digital art,Fine Arts
13,Male,graphic,Fine Arts
13,Male,photography,Fine Arts
13,Male,music,Fine Arts
13,Male,singing,Fine Arts
13,Male,instrumental,Fine Arts
13,Male,dance,Fine Arts
13,Male,theater,Fine Arts
13,Male,film,Fine Arts
13,Male,writing,Fine Arts
13,Male,animation,Fine Arts
13,Male,rap,Fine Arts
13,Male,performance,Fine Arts
13,Male,fashion,Fine Arts
13,Male,design,Fine Arts
13,Male,illustration,Fine Arts
13,Male,typography,Fine Arts
13,Male,jewelry,Fine Arts
13,Male,pottery,Fine Arts
13,Male,street art,Fine Arts
13,Male,biology,Nursing
13,Male,chemistry,Chemical Engineering
13,Male,physics,Physics
13,Male,math,Mathematics
13,Male,statistics,Mathematics
13,Male,environment,Science
13,Male,laboratory,Science
13,Male,medical,Nursing
13,Male,genetics,Nursing
13,Male,quantum mechanics,Physics
13,Male,geology,Science
13,Male,marine,Science
13,Male,molecular,Nursing
13,Male,organic,Chemical Engineering
13,Male,astrophysics,Physics
13,Male,calculus,Mathematics
13,Male,ecology,Science
13,Male,climate,Science
13,Male,neuroscience,Nursing
13,Male,biotech,Nursing
13,Male,biomedical,Nursing
13,Male,microbiology,Nursing
13,Male,cellular,Nursing
13,Male,analytical,Chemical Engineering
13,Male,theoretical,Physics
13,Male,business,Business Management
13,Male,sports,Physical Education
13,Male,law,Legal Management
13,Male,psychology,Psychology
13,Male,education,Education
13,Male,engineering,Civil Engineering
13,Female,programming,Computer Science
13,Female,software,Computer Science
13,Female,web,Computer Science
13,Female,network,Computer Science
13,Female,cybersecurity,Computer Science
13,Female,data science,Computer Science
13,Female,machine learning,Computer Science
13,Female,cloud,Computer Science
13,Female,blockchain,Computer Science
13,Female,python,Computer Science
13,Female,java,Computer Science
13,Female,c++,Computer Science
13,Female,frontend,Computer Science
13,Female,backend,Computer Science
13,Female,DevOps,Computer Science
13,Female,UI/UX,Computer Science
13,Female,system,Computer Science
13,Female,database,Computer Science
13,Female,game,Computer Science
13,Female,full stack,Computer Science
13,Female,quantum,Computer Science
13,Female,painting,Fine Arts
13,Female,sculpture,Fine Arts
13,Female,digital art,Fine Arts
13,Female,graphic,Fine Arts
13,Female,photography,Fine Arts
13,Female,music,Fine Arts
13,Female,singing,Fine Arts
13,Female,instrumental,Fine Arts
13,Female,dance,Fine Arts
13,Female,theater,Fine Arts
13,Female,film,Fine Arts
13,Female,writing,Fine Arts
13,Female,animation,Fine Arts
13,Female,rap,Fine Arts
13,Female,performance,Fine Arts
13,Female,fashion,Fine Arts
13,Female,design,Fine Arts
13,Female,illustration,Fine Arts
13,Female,typography,Fine Arts
13,Female,jewelry,Fine Arts
13,Female,pottery,Fine Arts
13,Female,street art,Fine Arts
13,Female,biology,Nursing
13,Female,chemistry,Chemical Engineering
13,Female,physics,Physics
13,Female,math,Mathematics
13,Female,statistics,Mathematics
13,Female,environment,Science
13,Female,laboratory,Science
13,Female,medical,Nursing
13,Female,genetics,Nursing
13,Female,quantum mechanics,Physics
13,Female,geology,Science
13,Female,marine,Science
13,Female,molecular,Nursing
13,Female,organic,Chemical Engineering
13,Female,astrophysics,Physics
13,Female,calculus,Mathematics
13,Female,ecology,Science
13,Female,climate,Science
13,Female,neuroscience,Nursing
13,Female,biotech,Nursing
13,Female,biomedical,Nursing
13,Female,microbiology,Nursing
13,Female,cellular,Nursing
13,Female,analytical,Chemical Engineering
13,Female,theoretical,Physics
13,Female,business,Business Management
13,Female,sports,Physical Education
13,Female,law,Legal Management
13,Female,psychology,Psychology
13,Female,education,Education
13,Female,engineering,Civil Engineering
14,Male,programming,Computer Science
14,Male,software,Computer Science
